room,idx,original,translated,comments
28,33,Give it a rest. It's going to be raw soon.,____ __. _____ ___ _____ ____ __.,
3,0,This is the Data Archive of the Arcada. An interesting array of devices (none of of which you know how to operate) are provided for data study by those with proper clearance.,___ ______ _______ __ ______. ____ ____ __ _______ (___ __ ___ ___ ____ ____ _____) ____ _____ _____ ______ __ ___ ______ __ ________ ________.,
3,1,This is an area of non-descript hallway beneath the Data Archive Storage Cabin.,___ ______ ___ _____ _____ ____ ____ ______ _______.,
3,2,The door opens. A man you recognize as one of the head lab scientists stumbles into the room. He appears to be in serious need of some Abdo-Seal abdomen filler!,____ _____. ___ ____ ____ ____ ______ ______ _______ ____ __ ___ ____. ____ ____ ____ _______ _____ _____ ____ ____.,
3,3,"After only a few steps, he hits the floor with a disconcerting thud.","____ ____ _____, ___ ____ __ _____ ____ ____ ____.",
3,4,His lips move.,_______ ___ ____.,
3,5,"Just before his systems cease all functions short of decay, he looks over toward the shelves full of cartridges and utters ""%s"". With one last gasp, his lifeless form slumps to the floor.","___ ____ _________ _____ ______ ____, ___ ____ ____ ______ ____ ________ ______ ""%s"". _____ ___ _______, _____ ____ _____ _____ ____.",
3,6,No amount of money will put this man's lungs back in his chest.,___ ___ ______ __ ____ __ _______ __ ____ _____ __ ____.,
3,7,It's a grisly sight. You can't tell where the toasted synthetic fabrics end and the fused organic material begins. There is nothing you can do for him now.,_____ ____. ____ ____ ____ ____ _____ _______ _____ ______ ______ _______ _____ _____. ___ ___ ____ _____ _____ _____ ____.,
3,8,You see a man dressed in a lab coat. He appears to be ailing in a major way.,___ ____ ___ ____ _____ _____. ___ ____ ____ ___.,
3,9,"A large laser hole has been burned in his uniform, giving you a nice view of previously unexposed tissue. Struggling painfully, he props himself up on one elbow.","____ _____ ______ ____ __ ____, ______ ___ ___ __ _____ ______ __ __ __ ____. ______ ______, ___ ______ __ _____ ____.",
3,10,You can do nothing more for the fused flesh-heap of a man.,____ ____ _____ ___ ____ _____ ___ _____ ____ __.,
3,11,In his present condition (dead) he can't make any use of the data cartridge.,_____ ______ (__) ___ __ __ _____ _______ ______.,
3,12,"If you give the keycard to the dead scientist, you won't be able to use the special elevators.","__ ___ __ ______ ______ _____ _____, __ ____ ______ __ _______ ________.",
3,13,The widget apparently has no power to raise the dead.,_____ ______ ___ ___ ______ ____.,
3,14,The handy dandy translation gadget will not enable you to communicate with the dead.,_____ ______ ______ ______ ___ __ _____ __ _____ __ _____.,
3,15,His audible forms of communication will be limited to what he can convey through the venting of bodily gases.,_____ _______ _______ ___ _______ ___ ____ _____ _____ _______ ______ _____ ____.,
3,16,He didn't smell all that great when he was alive.,___ __ ____ __ __ _____ ___ _____ ___ ____ ____.,
3,17,The smell of freshly sheared copper fills the air around the damaged scientist.,___ _____ _____ ____ ____ __ ______ ____ _____ _____.,
3,18,You wouldn't want to do that. Trust me.,__ ____ ____ _____ __ __. ____ ___.,
3,19,This is a Model DX Cartridge Retrieval Unit. Its function is to retrieve and return cartridges from and to the storage unit. It is currently %s.,____ _____ _____ _______ ____ DX. ______ ___ _____ _______ _______ ______ ______ _____. ____ ___ ____ %s.,
3,20,"You can't reach it. Even if you did, the pinchers look quite nasty.","___ __ ____ _____ ___. ______ ____ _____, ______ _____ __ _______.",
3,21,It doesn't respond to human voice commands. It only works through the data archive console.,___ __ ____ _______ ___ _______. ___ ____ __ _______ ____ _____ _______.,
3,22,I wouldn't be violating his airspace if I were you.,__ _____ ____ _____ _______ ___ __ _____ ______.,
3,23,You figure the robot probably works for batteries.,___ ____ ______ _______ ____ __ ______.,
3,24,You decide that the cartridge is too important to give back to the robot.,___ _____ ________ _____ ___ ____ _____ ____ ______.,
3,25,You see no slot on the robot that would fit the keycard.,____ ____ __ ____ __ ___ ______ ______ ______ ______.,
3,26,"The widget, being magnetic, sticks to the robot's outer casing. You remove it again with some difficulty.","_____, _____ _____, ____ ______ ______ ________. ___ ____ ____ ___ ______ ___ _____.",
3,27,"Since the robot does not speak, the translator has nothing to translate.","____ _______ ____ ____, ______ ___ __ _____.",
3,28,You can see a well-lit room above.,_____ ___ ____ ___ ____ ____ _____.,
3,29,You seem to be on the wrong level to do that.,____ ____ _____ ___ _____ _____ ____ __ __.,
3,30,You need to go to the top level.,____ _____ _____ _______.,
30,0,Nothing to do there.,___ __ _____ __.,
30,1,"Your words echo about the cavern, apparently not destined to fall on the ears of others.","_____ ________ _____ _____, ___ _____ __ _____ _____ __ _____ _____.",
30,2,It smells like a musty old cave. They need Cave-B-Nu(tm).,____ __ ___ ____ ______ ______. __ ______ ____-_____-____(tm).,
30,3,Nothing worth tasting there.,___ __ ____ _____ _____.,
30,4,"Having an adequate personal collection of natural Keronian adhesive, you choose to leave this sticky gunk where it is.","____ ______ _____ ____ _____ __ _____ ___ _________ ______, ___ ____ ______ __ _____ ______ ______.",
30,5,This stalagmite has obviously been broken loose previously and set back in place.,_____ ____ _____ ____ ____ ______ _____ ______.,
30,6,The being responsible - most likely your Keronian counterpart - tried to fool everyone else by using some sticky gunk to hold it together. (Like that would actually fool anyone!.),______ ___ - ___ _____ ______ _________ - ____ _____ _____ __ ___ ______ _____ ____ _____. (_____ ______ ___ ____ ___ ___!),
30,7,You've already taken the stalagmite.,___ ____ __ _____.,
30,8,You almost wish you had a table or breadboard to sand.,___ _____ ____ __ _____ __ ___ _____ ______.,
30,9,"You flex those incredible muscles you wish you had, but you're barely able to snap loose the previously fractured stalagmite tip.","___ _____ __ ______ ________ _____ __ _____ __, __ _____ _____ _____ __ ___ _____ _____ _____.",
30,10,I'll bet you're getting to truly hate this elevator.,___ _____ ____ _____ ___ _____ __ ______ ____.,
30,11,Hey! What's the deal here?! That elevator doesn't lower - it sucks!,__! __ ____ ___?! ______ __ _____ - ____!,
30,12,"Although you imagine yourself a buff individual, you could effect no change in the tube door.","_____ ____ _____ __ ____ _____ _____, ___ __ _____ ___ __ ___ _______.",
30,13,"With professional pride, you observe that the door polish these guys use tastes different than your favorite brand.","______ _______, ___ _____ __ ______ ______ ___ _______ ____ ____ ______ _____ ____.",
30,14,The scent of Berzzleweeze Berry rises to be sampled olifactorally. Must be their polish.,_____ ____ ______ _____ __ ___ ____ ___ ____ __. _____ ______ ____.,
30,15,"These are stalagmites. They stand silently, just as they have done for so many centuries.","___ ______. __ ______ _____, _____ ___ ___ ___ ____ _______ _____.",
30,16,They are as solid as rocks and resistant to any manipulation.,__ _____ ____ _______ ____ __________ ___ ___ ___.,
30,17,It said to tell you that it's in a meeting and won't be out all day. Please check again in another version or two.,____ __ _____ __ ____ ______ ___ _____ __ _____. ___ ____ ____ ____ _____ __ _____.,
30,18,The stalagmite has no smell.,_____ ___ ___.,
30,19,It didn't have a taste but its texture gave your tongue that nice rough-out leather look.,___ ___ ___ ___ _____ _____ __ __ _____ _____ __ ___ __.,
30,20,These are stalactites. They just hang there politely minding their own business.,___ ______. __ ___ ______ __ ______ _______ ________ ____.,
30,21,You can't. Not without the ladder. (See nose message.),___ __ ____. __ ___ _____. (___ _____ __.),
30,22,You can't. Not without the ladder. (See tongue message.),___ __ ____. __ ___ _____. (___ _____ ____.),
30,23,You can't reach any of them without the ladder.,___ __ ____ _____ ___ ___ ___ ___ _____.,
30,24,"What do you mean, you don't have the ladder?","__ ___ _____, _____ __ ____?",
30,25,"Oh, sorry! We don't let you have one of those until Space Quest III.","__, _____! __ ______ __ ___ __ ___ ____ 3.",
30,26,Did I mention that Space Quest III was the Software Publisher's Association Award-winning Best Adventure Game for 1989?,___ ______ ____ ____ 3 ___ ____ ____ _______ ____ _____ ____ 1989 __ _____ ______ ______?,
30,27,You don't care? Sorry. Never mind.,__ ____ __? _____. __ ____.,
30,28,It's an unconsolidated mixture of rock fragments and pebbles.,__ ______ __ _____ __ _____ _____ _______.,
30,29,Unless you get into the masonry field or concrete business they will be of no use.,__ ___ __ _____ _____ _______ __ _____ _____ ___ __ __ _____ ____.,
30,30,YAaachooo!!! Quit sniffing gravel! It makes me sneeze.,______'___!!! _____ _____ ___! __ ____ __ ______.,
30,31,"Oh, that's disgusting. Keep running your tongue along the floor like that and you're bound to catch something you don't want.","___, __ _____. _____ ____ __ _____ ___ __ _____ _____ _____ _____ _____ ____ __ ____.",
300,0,You wish you could sing like that.,____ __ ____ ___.,
300,1,"They may look like a couple of geeks, but they have good taste in music.","__ ____ _____ ___ ___ _____, ___ __ ___ ___ ___ _______.",
300,2,Don't they ever wash those suits.,___ __ ___ __ _____ __ _______ ____.,
300,3,"They don't have the time to talk to you, they're on a mission from God.","___ ___ ___ ____ ____, __ _______ ____ ___.",
300,4,"Unlike any band you've ever seen, these guys aren't interested in tips.","______ ___ ______ ____ __ _____ __ ____, ____'_ ____ ____ _________ ______.",
300,5,he isn't interested in the data cartridge.,___ __ _______ _______ _______.,
300,6,He doesn't seem interested in the widget.,__ ____ ______ ______ ____.,
300,7,"The lyrics of this song are gibberish, even translated.","_____ ____ __'_____, _____ ____ ______.",
300,8,You could wind up outside with a microphone stand wrapped around your neck.,___ ____ _____ ____ __ ________ ____ ____ ______.,
300,9,They look like they get plenty to drink.,____ ___ ___ ____ __ _____.,
300,10,You decide not to offer him your jet pack - he's already flying.,___ _____ ___ _____ __ __ _____ ______ ___ - ___ ___ _____.,
300,11,There's no discount on the band. Sorry.,___ ____ __ _____. _______.,
300,12,You don't want to disturb them.,___ __ ____ ______ ___.,
300,13,They don't have the time to talk to you.,___ ___ ___ ____ ____.,
301,0,No thanks.,__ ____.,
301,1,Her taste in clothes is almost as bad as her taste in music.,____ ___ ______ ____ ____ ___ ____ ___ _______.,
301,2,"You'd love to, but those spikes look deadly.","____ ___, ___ ______ ____ _____ _______.",
301,3,She doesn't have the time to talk to you.,___ __ ___ _____ ____.,
301,4,"If you think that's going to work on her, you're loony.","__ ___ ____ ___ _____ ____, ___ ____.",
301,5,She doesn't find the cartridge any more interesting than the rest of you.,___ __ _____ __ _______ _______ ____ ____ ____ ___.,
301,6,She could care less about the widget.,___ ___ ______ ____ ____ ______ ___.,
301,7,You can understand her fine already.,___ ___ ____ ____ _____.,
301,8,She apparently has no interest in male competence symbols.,____ ____ ____ __ ________ _____ ______ _____.,
301,9,She just keeps on singing as you hold out the canister of dehydrated water.,___ ______ ____ _____ ____ ___ ____ _____ ____ ________.,
301,10,"With a toss of peroxide hair, she rebuffs your offer of a jet pack.","_____ _____ __ _____ _______, ___ ____ __ ____ _____ ______ ___.",
301,11,The coupon probably doesn't apply in this situation.,______ _____ __ ___ _________ ____.,
302,0,Don't touch.,__ ____.,
302,1,Get real!,____ _______!,
302,2,I guess having a long beard means not having to take a bath.,___ ____ ___ ______ ___ ____ ___ _____ _______.,
302,3,They don't have the time to talk to you.,___ ___ ___ ____ ____.,
302,4,"Unlike any bar band you've ever seen, these guys aren't interested in tips.","______ ___ _____ _____ _____, ___ __ ______ _________ ______.",
302,5,He isn't interested in the data cartridge.,___ __ _______ _______ _______.,
302,6,He doesn't seem interested in the widget.,__ ____ ______ ______ ____.,
302,7,"The lyrics of this song are gibberish, even translated.","_____ ____ __'_____, _____ ____ ______.",
302,8,You could wind up outside with a microphone stand wrapped around your neck.,___ ____ _____ ____ __ ________ ____ ____ ______.,
302,9,They look like they get plenty to drink.,____ ___ ___ ____ __ _____.,
302,10,You decide not to offer him your jet pack - he's already flying.,___ _____ ___ _____ __ __ _____ ______ ___ - ___ ___ _____.,
302,11,There's no discount on the band. Sorry.,___ ____ __ _____. _______.,
303,0,Most extraterrestrials won't do that on the first date. Maybe you should just listen to them.,___ _______ __ _____ __ __ _____ ______. ____ ____ _____ _____ ___.,
303,1,He doesn't have the time to talk to you.,___ __ ___ _____ ____.,
303,2,Sniffing others is a ritual best left to dogs and other four-legged creatures.,_____ _____ ____ _____ _____ _______ ______ ____ ______ _______ __ ____.,
303,3,"From the way he keeps feeding the slot machine, it would seem he has plenty of money.","______ ___ ___ ____ __ _____ ____, ____ ____ __ ___ __.",
303,4,All he really cares about is playing the slot machine.,__ __ _____ __ ____ __ _____ _______.,
303,5,He doesn't care about your widget. Did you expect him to?,_____ ___ __ ______ ____. _____ ___?,
303,6,He's far too engrossed in his present activity to pay attention to your gadget.,___ ____ ___ ____ ________ ________ ____ ____ __ ______ ___.,
303,7,He only has eyes for the slot machine.,__ _______ ______ ______ ________.,
303,8,He's much too busy winning to take a drink.,___ ____ ___ ______ ____ ____.,
303,9,You show the little blue alien your terrific new jet pack. He's not particulary impressed.,___ ____ ______ ______ ____ __ _____ ______ _____ _______ ___. ___ __ _____ ______.,
303,10,"If he can't use it in the slot machine, he doesn't want it.","__ __ ___ ____ ______ ____, _____ _______.",
31,0,Nothing to do there.,___ __ _____ __.,
31,1,No one here cares what you have to say.,___ ___ ___ __ ____ __ __ __ _____.,
31,2,You get a hint of sulfur in the musty air.,___ ____ ___ __ __ ______ ______ ______.,
31,3,Nothing worth tasting there.,___ __ ____ _____ _____.,
31,4,"It's a grate monster. At the moment ,he's stuck on something - fortunately not you.","____ _____ _____. ____ ______, ___ _____ __ ____ - _____ ____ __ __ ___.",
31,5,It's a grate monster. I'll bet he's lonely and just wants to be your friend.,_____ _____. ___ ____ ______ ____ ____ _____ ___ ____ _____ ____ ___.,
31,6,It smells grate.,__ ____ ____.,
31,7,"I don't think you want to get that close. Then again, maybe you do.","___ __ ____ ____ ____ ______. ______ ____, ____ __.",
31,8,You now have a chance get your buns out of here. You'd better take advantage of the opportunity.,__ __ _'___ _____ ______ __ ____. ____ _____ __ ________.,
31,9,Get closer.,_____.,
31,10,This is the upper pathway.,___ ______ ______.,
31,11,"A path is visible there, but you can't seem to access it from here.","_____ ____ ____, __ ___ ___ ____ ____.",
31,12,This is the lower pathway.,___ ______ ______.,
31,13,There is a path there which you don't seem to have access to from here.,__ __ ____ _____ _____ _____ ____ ____.,
31,14,It's more cave floor.,__ ___ ____ ____.,
31,15,The grate is made of metal and seems to be fastened securely to the floor. A strange tentacled beast lurks at the bottom of the pit.,_____ _____ ____ _______ ______ _____. _____ ___ ______ _____ ______ ____.,
31,16,"The grate is made of metal and seems to be fastened securely to the floor. It is too dark to see down through the grate. However, an odd smell emanates from the depths of the pit.","_____ _____ ____ _______ ______ _____. ___ ____ ____ _____ ____ _____. __ ___, ___ ____ ____ ______ ____.",
31,17,"This critter isn't interested in your money - he perfers raw, bleeding flesh.",_____ __ ____ __ ____ ___ - ___ _____ ___ __ _____.,
31,18,You doubt this hideous creature could help you read the cartridge.,___ ____ __ _____ _______ _____ _____ __ ____ _______.,
31,19,The monster is much less interested in the widget than in stripping the flesh from your bones.,_____ ____ ______ __ ______ ____ _____ ____ ________.,
31,20,"The disgusting slimy, slimy, slurping, slithering sounds from the grate would not be improved by running them through the translator gadget.","________ _________, _______ _________ _______ __ _____ __ ______ __ _____ ____ ______ ______.",
31,21,"You might be able to cut off one head, but, meanwhile, the others would be turning you into fresh-ground turkey.","___ ____ ____ _____ ___ ___, ___, _______, ____ _____ ____ ____ ____ ___.",
31,22,You really don't feel like sharing your precious dehydrated water with snake-face here.,___ __ ____ _____ ____ ____ __ _____ ________ ______ ____ __ _____ ____ ___.,
31,23,"He's hungry, but not THAT hungry.","___ ___, ___ __ __ ___ __.",
31,24,Don't waste your time. It's already stuck and you've got better things to do.,__ _____ __ ____. ___ ___ ____ ___ __ _____ ____ ______ _____.,
31,25,You don't need to do that again.,____ ____ _____ ___ ___.,
31,26,Don't waste your time. You've got better things to do than throw your items in an empty pit.,__ _____ __ ____. __ __ _____ ____ ______ _____ ____ ______ _____ __ ___ ___.,
31,27,CRUNCH! CRUNCH! CRUNCH!,_____! _____! _____!,
31,28,You've been snatched out of existence by the tentacled beast lurking beneath the grate. You feel the painful sting of digestive fluids.,_____ ___ ____ ____ _____ ___ ______ ______ ____ _____. ___ __ ___ _____ ____ ______.,
31,29,Don't stop now. We're having so much fun watching you.,__ _____ _____. ___ __ __ _____ _____ __.,
31,30,Maybe you should've kept that after all.,____ ____ ____ _____ __ __ ____ ___.,
31,31,It's already stuck and you have better things to do.,__ ___ ____ ___ __ _____ ____ ______ _____.,
31,32,Don't waste your time. You've got better things to do.,___ __ ____. __ __ _____ ____ ______ _____.,
32,0,Nothing to do there.,___ __ _____ __.,
32,1,You can't hear anything over the steam and that includes your own voice.,____ ____ ___ ____ ____ _____ ___ ____ __ __ ____ ___.,
32,2,"Your words echo about the cavern, apparently not destined to fall on the ears of others.","_____ ________ _____ _____, ___ _____ __ _____ _____ __ _____ _____.",
32,3,The sulfur in the air is much stronger in here. Each inhalation packs a bit of afterburn as well.,___ _______ ______ ____ ______. __ __ _____ ___ __ _____ _____ ______ ______.,
32,4,Nothing worth tasting there.,___ __ ____ _____ _____.,
32,5,Not from here.,__ ____.,
32,6,"Well, Scott, it looks like Roger has done it again.","____, ____, ____ ____'_ ___ ___ ___.",
32,7,"It sure does, Mark. Let's run that one again with the aid of our new How-He-Blew-It Cam(tm) and Chalkboard(tm).","____ __, ____. ___ ____ __ __ ___ _____ _____ ____-___-____-__-__(tm) _____ ____ ____ (tm).",
32,8,"I have to say that carefully, Mark. Every time we mention something with a trademark or copyright, the lawyers come out to feed.","___ ____ ____ ___ _______, ____. __ ___ ______ _______ ____ __ ____ _____ __ ______ ______, _____ ____ ______ ____ ___.",
32,9,Instant Replay!!!,_____ ____!!!,
32,10,"Now, this is where Roger makes the fatal move.","_____, __ ____ ___ ___'_ ____ __ _____ ______.",
32,11,And we can all see the result of that mistake.,______ _____ __ ______ __ ____ ____ ______.,
32,12,"I don't know about you, Scott. Personally, I like to know exactly what I'm messing with before I actually mess with it. I guess he'll know better next time. Ouch.","___ __ ____ __ ____, ____. _____, ___ _____ ____ __ __ ___ _____ ____ ____ _____ ____. ___ ____ _____ ____ ___ ____ ____ ___. ____'.",
32,13,"Sure, you've died a few deaths before, but this one really burns you. Planets are depending on you. Seeing you do stuff like this is definitely making them nervous.","____, _____ ___ ____ _____ ____, ___ ____ ____ _____ ___ _____. ______ _____ ______ __. ____ _____ ____ ____ _____ ____ ___ ___ ____ ____.",
32,14,This is the steam geyser that you plugged.,___ _____ ______ _____.,
32,15,This is a pulsating steam geyser.,___ _____ _____ ____.,
32,16,I wouldn't be touching that directly. It's hot!,_____ ____ _____ ___ ______. __ ____!,
32,17,"Yes, a good steam-cleaning might seem in order right now, considering all the the things you've dragged it over lately. It's the facial peel that is of concern.","__, _____ ____ ____ _____ _____ ______, ______ ___ ______ _____ ____ _______. ________ _____ __ ___ ________ ____.",
32,18,You get a whiff of sulfur in the steam-heated air.,___ __ ______ ____ _____ _______ ___ ____ _____.,
32,19,"""SSSSSS SSSSSSSSSSSS SSS SSSSSS SSSSS SSSSS SSSS"" is its response.","""______ __________ ___ ______ _____ _____ ____"" ____ ______ ______.",
32,20,Why? Do you plan to practice some auto-surgery techiques? May we suggest a lobotomy?,___? ___ _____ ______ __ _______ ________ _________? ____ ______ __ __ _____ ____?,
32,21,It just steams up.,___ __ ____ ____.,
32,22,Bad idea.,_____ ____.,
32,23,That piece of stalagmite sure makes a good plug!,____ _____ ____ ____ _____!,
32,24,Ooo. Bad idea. It's a bit hot.,____. _____ ____. __ ____ __ ___.,
32,25,"You poor, deprived being!",____ _____ ______ ______!,
32,26,The smell of sulfur seems to be dissipating.,___ _______ ______ __ _____.,
32,27,"This is an upper pathway in a slightly smaller chamber of the underground complex. Near the middle section of the path, the acid drops have formed a pattern of little holes. No, it's not a dot-to-dot puzzle.","___ _____ ____ __ ___ ______ ______ ____ _____ ___ _____. ____ _____ ______ __ _____, _____ ______ ____ ____ __ _____ _____. __, __ __ ____ _____-__-_____.",
32,28,This is an upper pathway which is inacessible from here.,___ _____ ____ ___ ____ ____ ____.,
32,29,Your view is restricted by the closed door.,___ ______ ___ _____ ____ ____ ______.,
32,30,You'll need to move further into the room to receive a better view.,____ ____ ______ __ ___ ____ __ ___ ______ ______ ____ ____.,
32,31,This is a slightly smaller chamber in the underground complex. There is a path above which is not accessible from here. There is a pool on the right side.,___ ___ ___ ___ ____ ______ ___ _____. _____ _____ ____ ___ ____ ____ ____. _____ ______ _____ _____.,
32,32,This is the lower ledge for this room. You can't reach it from here -- try going back down.,___ ____ ______ __ ____. __ ____ _____ ____ ____ -- ___ _____ ____.,
32,33,"It's an odd, closed door with no apparent mechanism for opening it.","____ ___ _____ ______, ___ __ ______ _____ ____ ____.",
32,34,You are unable to open the door by hand.,__ _____ _____ __ ____ ______ ______.,
32,35,No amount of screaming will open this door.,__ ______ ______ __ _____ __ ____ ___.,
32,36,Smells pretty much like a strange door which has stood next to a sulfur-spewing geyser for a long period of time.,____ ___ ___ _____ ____ ___ ____ ___ _____ ____ ______ ____ _____ ____ ___ _____.,
32,37,It tastes like rotten Krebble eggs!.,__ ___ ___ __ ____ ____ ______!,
32,38,That doesn't seem to have any effect on the door.,__ ____ ___ ___ _____ _____ __ ____.,
32,39,"You gaze intently at the greenish pool of liquid, the first real sign of moisture on the planet. The pool seems to have no bottom. The gentle dripping has a soothing effect on your frazzled nerves. A small plume of mist rises as each drop hits the pool's surface.","___ ____ ______ __ ______ _____ ______, ____ _____ _________ __ ___ ___ __ ___ _____. ______ _____ _____ _____. ______ _____ __ ____ _____ __ _____ _______. _____ ____ ___ _____ __ ___ ______.",
32,40,You can't see anything from up here.,____ ____ ___ ____ _____.,
32,41,"Drip, drip, drip. It must be talking to you.","___, ___, ___. ___ _____ ____.",
32,42,"Nah, not here. Try using it somewhere else.","___, __ ___. ___ ______ ___ _____ ___.",
32,43,From tiny cracks in the ceiling several small drops of liquid succumb to the influence of gravity.,____ _____ ______ _____ ____ _____ _____ __ ____ ______ _____ ___ ______.,
32,44,A light-green mist floats gently upward after each drop of liquid hits the surface of the pool.,____ ____ ____ ____ ____ ____ ____ __ ____ __ ____ ______ ____ ______.,
32,45,"From tiny cracks in the ceiling several small green drops fall in a gently rhythmic pattern that stimulates your alpha levels. They make a heckuva great rust remover, too.",____ _____ ______ _____ ______ ___ _____ _____ _______ ____ _____ ____ _____ __ ______ ___. ____ __ _____ ___ ____ _____ ______.,
32,46,There's nothing you can do to these from here.,__ ____ _____ ___ ___ ____.,
32,47,"They're hard to catch, but you do get a slight burning sensation.","___ _____ ____, ____ ___ __ ______ _____ ___.",
32,48,They're hard to catch. You might need to get right under them.,___ _____ ____. _____ _____ ___ _____.,
32,49,They're too busy falling right now.,__ ____ ___ ______ ______ ____.,
32,50,You are unpleasantly surprised by a drop of searing acid which bores its way to your feet.,__ ____ _____ _____ __ _____ _____ ____ _____ _____ ______ ____ _____.,
32,51,"Now, that's some seriously deep pain.","_____, ___ ___ ____ _____ ____.",
32,52,"You lean over to drink from the tempting pool of liquid. As your lips touch the fluid, you feel a pain which could be likened to kissing a lit rocket nozzle. Now you know what they mean when they say 'Don't drink the water.'","___ ______ ___ _____ ______ _____ _____. _____ ______ ______ _____, ___ __ ____ ____ _____ ______ ___ ____ ____. _____ ___ ____ __ ________ ________ '____ ______ _____'.",
32,53,"You lean over the pool to get a good solid whiff, and WHOOA! Talk about clean sinuses!","___ ____ ___ ______ ___ ____ _____ _____, _____! ____ ____ __ _______ _____!",
32,54,That's right. You have no head. That darn pool must be filled with acid. You obviously can't go on living that way.,__ ____. ___ __ ___. ______ ______ ____ ___ ____ ______. ___ __ ____ ______ _____ _____ ____.,
33,0,Nothing to do there.,___ __ _____ __.,
33,1,"Having seen no other intelligent(?) being for so long, you decide to save your voice.","____ ___ _____ ___ ____ ____ ____________(?) ___ _____ _____, ___ _____ _____ __ ____ ___.",
33,2,"You detect a bit of sulfur in the air from the adjoining chamber. Each inhalation packs a bit of an afterburn as an extra, added bonus.",___ ____ _____ ______ ______ _____ ____ _____. __ _____ ____ ____ ______ ____ _____ ______ _____.,
33,3,Nothing worth tasting there.,___ __ ____ _____ _____.,
33,4,"You have quite cleverly turned the beam upon itself, frying and fusing it into a state of inoperability.","_______ __ ___ ____ __ ______ ____ ____, ____ _____ _____ ____ ____ __ ____ _____.",
33,5,You've found quite a number of forms to transform yourself into. This is the first time you've been wafer-style.,__ _____ _____ ____ __ ____ __ ____ _____ _____. ____ __ ____ _______ _____ _____ ___.,
33,6,"Well, Scott, it looks like Roger has done it yet another time.","____, ____, ____ ____'_ ___ ___ ___ _____.",
33,7,"It sure seems that way. For those who might have missed that last move by Roger, or if, like me, you just want another look at it, let's roll it again.","___ __ ____. ____ ____ _____ _____ __ _____ ______ __ ___'_, __ ________, __ ___ _____ ___ _____ ___ ___, _____ ____, ___ _____ __ __ _____.",
33,8,Instant Replay!!!,_____ ____!!!,
33,9,You've got to give some high marks for truly fine execution. We'll have to give it a strong 9.8.,__ __ ____ ____ __ _____ _____ ______ ______. ____ __ __ 9.8 ____ ____.,
33,10,The beams seem to form some sort of electronic barrier across the path.,_______ ______ ____ _____ ________ _____ ____.,
33,11,"Somehow you get the impression that you shouldn't do that. If you really insist, however, try getting closer.","______ ___ ____ __ _____ ____ __ ____ _____ __ __. ____ __ ___ ___ _____, ___ ______ ____.",
33,12,It's a good way to get that nose job you've often considered.,____ ___ ____ _____ __ _____ ___ _____ ____.,
33,13,You're quite attached to your tongue and would like to keep it that way.,___ __ ____ _____ ___ _____ ____ ___ __ ____.,
33,14,"That doesn't seem like the thing to do here, try something else.","__ __ ____ ___ ____ _____ ______, ___ ____ ___.",
33,15,No result.,___ ______.,
34,0,It's pretty darn dark in here.,____ ___ ______.,
34,1,There's not much you can do to it .,___ __ ____ __ _____ __.,
34,2,Your words go unnoticed.,_____ ________ ______.,
34,3,The place smells electric.,_____ __ ___ __ ____.,
34,4,Go around licking rooms of others and you won't be getting invited back anywhere.,__ ____ _____ __ _____ ______ __ _____ ___ ____ ____.,
34,5,"It's a hologram, pinhead - it doesn't need water.","__ ________, ___ ____ - ___ __ _____ ____.",
34,6,This isn't the object he wants to receive from you.,__ __ ____ ____ ____ ____ ___.,
34,7,"As soon as you enter the room, you find yourself surrounded by darkness. Suddenly, you become aware of the fact that you cannot move or speak. A strange, unknown force has taken over.","____ ___ ____ _____ __ ____ ____, ___ ____ __ ____ ____ _____ ______. ____, ___ ____ __ ______ _____ _____ ____ __ ____. ___ ______ ______ ___ _____.",
34,8,A massive holographic image appears before you.,____ _________ _____ ______ _____.,
34,9,It begins to speak ....,____ ______ ____...,
34,10,"""So, you have found your way to my hallowed chamber. Fortunately there is much more to you than meets the eye.""","""__, ____ __ ____ __ _____ ______. ______ ______ ____ _____ __ ___.""",
34,11,"""I have been monitoring your travels on our planet. It appears that you are up the proverbial estuary without a means of locomotion.""","""__ ___ __ ____ ____ __ ____ __ _______. _____ ____ ____ _____ ____ ___ ______.""",
34,12,"In other words, you're on the leather express, slapping the dogs, pounding the sand, you'd kill for a fine ride.","__ ______ _____, ___ __ _____ ______, _____ ___ __, _____ __ __ ______, _____ ____ _____ ______ ____.",
34,13,"""You are obviously in need of transportation.""","""____ ____ _____ ____ ______ ____ ______.""",
34,14,"""Let us see if you are worthy of our assistance.""","""___ _____ __ ____ ___ ____ ______ ____.""",
34,15,"""On the surface lives a beast called Orat. He proves to be a bit of an annoyance on occasion. Dispose of him and bring back evidence of your conquest. Only then will I deal with your plight. Good luck, strange one.""","""__ ___ ____ __ __ ____ ____ ____. ___ _____ __ ____ _____ __ ___ __________ _____. _____ ____ ____ ___ _____ __ ______. __ __ _____ ____ _______. ______, ___ __.""",
34,16,"""Bring to me evidence of the beast Orat's demise and we'll talk.""","""___ __ _____ __ ______ __ ____ _____ _____.""",
34,17,"With that, you find yourself transported back to the surface.","______ ___, ___ ____ __ ____ ____ __ ___ ____.",
34,18,With that you find yourself being transported back to the surface.,______ ___ ___ ____ __ ____ _____ _____ __ ___ ____.,
34,19,It begins to speak .... ,___ _____ ____...,
